1|8/14/2021|Brentford | Arsenal
1|8/14/2021|Burnley | Brighton and Hove Albion
1|8/14/2021|Chelsea | Crystal Palace
1|8/14/2021|Everton | Southampton
1|8/14/2021|Leicester City | Wolverhampton Wanderers
1|8/14/2021|Manchester United | Leeds United
1|8/14/2021|Newcastle United | West Ham United
1|8/14/2021|Norwich City | Liverpool
1|8/14/2021|Tottenham Hotspur | Manchester City
1|8/14/2021|Watford | Aston Villa
2|8/21/2021|Arsenal | Chelsea
2|8/21/2021|Aston Villa | Newcastle
2|8/21/2021|Brighton | Watford
2|8/21/2021|Crystal Palace | Brentford
2|8/21/2021|Leeds | Everton
2|8/21/2021|Liverpool | Burnley
2|8/21/2021|Man City | Norwich
2|8/21/2021|Southampton | Man Utd
2|8/21/2021|West Ham | Leicester
2|8/21/2021|Wolves | Tottenham
3|8/27/2021|Aston Villa | Brentford
3|8/27/2021|Brighton | Everton
3|8/28/2021|Burnley | Leeds
3|8/29/2021|Liverpool | Chelsea
3|8/30/2021|Man City | Arsenal
3|8/31/2021|Newcastle | Southampton
3|9/1/2021|Norwich | Leicester
3|9/2/2021|Tottenham | Watford
3|9/3/2021|West Ham | Crystal Palace
3|9/4/2021|Wolves | Man Utd
4|9/11/2021|Arsenal | Norwich
4|9/11/2021|Brentford | Brighton
4|9/11/2021|Chelsea | Aston Villa
4|9/11/2021|Crystal Palace | Tottenham
4|9/11/2021|Everton | Burnley
4|9/11/2021|Leeds | Liverpool
4|9/11/2021|Leicester | Man City
4|9/11/2021|Man Utd | Newcastle
4|9/11/2021|Southampton | West Ham
4|9/11/2021|Watford | Wolves
5|9/18/2021|Aston Villa | Everton
5|9/18/2021|Brighton | Leicester
5|9/18/2021|Burnley | Arsenal
5|9/18/2021|Liverpool | Crystal Palace
5|9/18/2021|Man City | Southampton
5|9/18/2021|Newcastle | Leeds
5|9/18/2021|Norwich | Watford
5|9/18/2021|Tottenham | Chelsea
5|9/18/2021|West Ham | Man Utd
5|9/18/2021|Wolves | Brentford
6|9/25/2021|Arsenal | Tottenham
6|9/25/2021|Brentford | Liverpool
6|9/25/2021|Chelsea | Man City
6|9/25/2021|Crystal Palace | Brighton
6|9/25/2021|Everton | Norwich
6|9/25/2021|Leeds | West Ham
6|9/25/2021|Leicester | Burnley
6|9/25/2021|Man Utd | Aston Villa
6|9/25/2021|Southampton | Wolves
6|9/25/2021|Watford | Newcastle
7|10/2/2021|Brighton | Arsenal
7|10/2/2021|Burnley | Norwich
7|10/2/2021|Chelsea | Southampton
7|10/2/2021|Crystal Palace | Leicester
7|10/2/2021|Leeds | Watford
7|10/2/2021|Liverpool | Man City
7|10/2/2021|Man Utd | Everton
7|10/2/2021|Tottenham | Aston Villa
7|10/2/2021|West Ham | Brentford
7|10/2/2021|Wolves | Newcastle
8|10/16/2021|Arsenal | Crystal Palace
8|10/16/2021|Aston Villa | Wolves
8|10/16/2021|Brentford | Chelsea
8|10/16/2021|Everton | West Ham
8|10/16/2021|Leicester | Man Utd
8|10/16/2021|Man City | Burnley
8|10/16/2021|Newcastle | Tottenham
8|10/16/2021|Norwich | Brighton
8|10/16/2021|Southampton | Leeds
8|10/16/2021|Watford | Liverpool
9|10/23/2021|Arsenal | Aston Villa
9|10/23/2021|Brentford | Leicester
9|10/23/2021|Brighton | Man City
9|10/23/2021|Chelsea | Norwich
9|10/23/2021|Crystal Palace | Newcastle
9|10/23/2021|Everton | Watford
9|10/23/2021|Leeds | Wolves
9|10/23/2021|Man Utd | Liverpool
9|10/23/2021|Southampton | Burnley
9|10/23/2021|West Ham | Tottenham
10|10/30/2021|Aston Villa | West Ham
10|10/30/2021|Burnley | Brentford
10|10/30/2021|Leicester | Arsenal
10|10/30/2021|Liverpool | Brighton
10|10/30/2021|Man City | Crystal Palace
10|10/30/2021|Newcastle | Chelsea
10|10/30/2021|Norwich | Leeds
10|10/30/2021|Tottenham | Man Utd
10|10/30/2021|Watford | Southampton
10|10/30/2021|Wolves | Everton
11|11/6/2021|Arsenal | Watford
11|11/6/2021|Brentford | Norwich
11|11/6/2021|Brighton | Newcastle
11|11/6/2021|Chelsea | Burnley
11|11/6/2021|Crystal Palace | Wolves
